id,fecha,modeloAuto,cantidad,precioUnitario,tarjeta
60,13/5/2021,Jerdein,1,$15641.240234,4293114197959718
61,29/9/2004,Falcon,5,$6691.600098,4017954593938443
62,17/10/2011,Crispin,1,$16724.429688,4571652272192
63,12/6/2018,Renals,2,$12543.759766,4017955877857
64,22/10/2017,Armor,2,$17651.859375,4017957549592321
65,8/12/2013,Farrears,5,$13765.950195,4017956359350
66,19/3/2001,Stevani,4,$4821.509766,4017950132163014
67,25/11/2012,Cuss,4,$11489.910156,4017956591341280
68,17/11/2013,Potier,5,$10243.250000,4041594659054
69,20/11/2018,Ivy,3,$8949.559570,4041376462412
70,29/4/2007,Ace,5,$9297.559570,4041371591447
71,18/10/2022,Falcon,3,$18777.779297,4707713943792446
72,25/7/2017,Follitt,3,$21545.050781,4356478809041
73,26/11/2002,Hoyer,3,$5469.680176,4041370726556
74,13/3/2012,Clink,4,$13521.219727,4859099010883003
75,6/2/2021,Cuvley,1,$16279.320313,4017954315867
76,15/6/2016,Carslaw,2,$16073.389648,4041378369670925
77,22/11/2018,Dailly,5,$18143.449219,4041374185742
78,13/6/2016,Staples,3,$3737.560059,4017955281010197
79,9/2/2014,Allardyce,5,$12009.309570,4927769447715
80,9/12/2014,Busen,1,$15526.240234,4017958428716
81,5/6/2013,Malloy,5,$13830.950195,4032088841084
82,29/7/2003,Neate,3,$7856.370117,4041379752138413
83,7/10/2010,Milch,5,$6151.990234,4017954471929902
84,31/1/2016,Houlison,3,$5494.330078,4928180339214695
85,23/12/2019,Trundle,2,$15920.650391,4041375249398
86,8/4/2007,Orrah,2,$8745.360352,4041378520159
87,10/8/2017,Cape,2,$1761.530029,4017950663986395
88,24/12/2000,De freyne,1,$8561.440430,4420047684333
89,18/8/2011,Van den hof,5,$16820.009766,4041371386093924
90,31/10/2005,Albrook,1,$20257.609375,4041595634148
91,9/2/2001,Urey,3,$4088.000000,4041592058036
92,22/11/2002,Lakenden,4,$21906.419922,4584222435850
93,11/11/2012,Willock,5,$2710.419922,4041599664160714
94,12/10/2020,Salamon,4,$11814.459961,4041596926969817
95,9/3/2012,Sivell,5,$3852.520020,4017951401256083
96,13/8/2007,Burtonwood,3,$15255.519531,4047600534353994
97,12/1/2002,Easen,5,$20522.660156,4041592188020316
98,22/5/2022,Seefeldt,3,$9865.230469,4041597517753537
99,7/10/2022,Rubke,2,$10076.969727,4017954373015
100,31/8/2001,Peposo,1,$18150.640625,4017953798571538
